track_id,class,best_frame,best_timestamp,max_y,cpa_location,best_bbox
1,vehicle,26,0.8667,1078.8634033203125,"[100.36, 1078.86]","[0.0, 843.56, 200.72, 1078.86]"
2,vehicle,71,2.3667,1080.0,"[120.39, 1080.0]","[0.0, 792.74, 240.79, 1080.0]"
3,vehicle,50,1.6667,1080.0,"[356.62, 1080.0]","[217.21, 741.95, 496.02, 1080.0]"
4,vehicle,688,22.9333,203.2553253173828,"[460.19, 203.26]","[426.84, 147.33, 493.54, 203.26]"
5,vehicle,101,3.3667,1080.0,"[1015.0, 1080.0]","[921.83, 759.37, 1108.18, 1080.0]"
6,vehicle,155,5.1667,1077.3572998046875,"[948.81, 1077.36]","[859.13, 738.89, 1038.49, 1077.36]"
7,vehicle,35,1.1667,789.0695190429688,"[884.21, 789.07]","[835.19, 733.18, 933.23, 789.07]"
8,vehicle,109,3.6333,1080.0,"[146.5, 1080.0]","[0.0, 779.38, 293.0, 1080.0]"
10,vehicle,159,5.3,1080.0,"[360.21, 1080.0]","[235.08, 787.63, 485.33, 1080.0]"
12,vehicle,73,2.4333,1080.0,"[1414.48, 1080.0]","[1268.83, 759.62, 1560.14, 1080.0]"
17,vehicle,206,6.8667,1080.0,"[336.01, 1080.0]","[207.05, 800.72, 464.98, 1080.0]"
18,vehicle,296,9.8667,1080.0,"[953.0, 1080.0]","[852.22, 733.86, 1053.77, 1080.0]"
19,vehicle,227,7.5667,1080.0,"[337.86, 1080.0]","[208.09, 798.8, 467.63, 1080.0]"
20,vehicle,259,8.6333,1080.0,"[372.88, 1080.0]","[241.57, 777.51, 504.19, 1080.0]"
22,vehicle,350,11.6667,1080.0,"[982.99, 1080.0]","[893.36, 768.71, 1072.61, 1080.0]"
23,vehicle,283,9.4333,1080.0,"[399.65, 1080.0]","[275.93, 790.44, 523.37, 1080.0]"
24,vehicle,399,13.3,1080.0,"[1038.38, 1080.0]","[942.58, 780.68, 1134.18, 1080.0]"
25,vehicle,297,9.9,1080.0,"[150.51, 1080.0]","[0.0, 699.75, 301.02, 1080.0]"
26,vehicle,347,11.5667,1080.0,"[394.13, 1080.0]","[291.88, 837.7, 496.37, 1080.0]"
27,vehicle,351,11.7,1080.0,"[132.58, 1080.0]","[0.0, 796.3, 265.15, 1080.0]"
29,vehicle,452,15.0667,1080.0,"[1065.98, 1080.0]","[965.85, 794.55, 1166.11, 1080.0]"
30,vehicle,421,14.0333,1080.0,"[377.03, 1080.0]","[246.53, 760.14, 507.54, 1080.0]"
32,vehicle,373,12.4333,1080.0,"[389.3, 1080.0]","[247.88, 759.96, 530.72, 1080.0]"
33,vehicle,388,12.9333,1080.0,"[139.85, 1080.0]","[0.0, 775.62, 279.7, 1080.0]"
34,vehicle,469,15.6333,1080.0,"[314.06, 1080.0]","[179.79, 779.35, 448.34, 1080.0]"
40,vehicle,363,12.1,62.00428771972656,"[558.47, 62.0]","[539.78, 28.28, 577.17, 62.0]"
41,vehicle,546,18.2,1080.0,"[138.84, 1080.0]","[0.0, 729.86, 277.69, 1080.0]"
42,vehicle,607,20.2333,1080.0,"[172.68, 1080.0]","[0.0, 590.41, 345.37, 1080.0]"
43,vehicle,697,23.2333,1080.0,"[1010.04, 1080.0]","[927.84, 807.33, 1092.24, 1080.0]"
46,vehicle,605,20.1667,1080.0,"[376.65, 1080.0]","[259.72, 822.32, 493.58, 1080.0]"
47,vehicle,761,25.3667,1080.0,"[964.56, 1080.0]","[875.62, 786.2, 1053.49, 1080.0]"
48,vehicle,674,22.4667,1080.0,"[361.48, 1080.0]","[236.48, 777.82, 486.49, 1080.0]"
